# Data for device cDAQ1 sampled at 1024
# t | Mod8/ai0:2(bridge) | 
3.226562500000000000e+00 -1.517505428475363852e-03 -1.888736290426981093e-03 -1.885758031107306800e-03
3.227539062500000000e+00 -1.517801836377859377e-03 -1.891120111800125188e-03 -1.883776477604242380e-03
3.228515625000000000e+00 -1.517787721719786407e-03 -1.890443051254514202e-03 -1.885673409764609650e-03
3.229492187500000000e+00 -1.517293708438344517e-03 -1.890986110305984498e-03 -1.887760732071580485e-03
3.230468750000000000e+00 -1.517724205753569157e-03 -1.888510602612250176e-03 -1.885694565101615717e-03
3.231445312500000000e+00 -1.516933784171414258e-03 -1.887699536194035197e-03 -1.886082412789388037e-03
3.232421875000000000e+00 -1.517717148423495307e-03 -1.890372524062050455e-03 -1.890045493878149668e-03
3.233398437500000000e+00 -1.518684001723485033e-03 -1.886824993550528361e-03 -1.889417890586307398e-03
3.234375000000000000e+00 -1.516333909822339347e-03 -1.887826485806505484e-03 -1.890228838512563944e-03
3.235351562500000000e+00 -1.517879466990199521e-03 -1.888087437687294709e-03 -1.889488407849074323e-03
3.236328125000000000e+00 -1.518267619872643243e-03 -1.890301996859719818e-03 -1.887323523385011541e-03
3.237304687500000000e+00 -1.518211161290128168e-03 -1.890435998535711787e-03 -1.883191177392562433e-03
3.238281250000000000e+00 -1.517406625802483191e-03 -1.890548842024708780e-03 -1.886371535417048773e-03
3.239257812500000000e+00 -1.519622623956740212e-03 -1.890809792496267201e-03 -1.886131775200971215e-03
3.240234375000000000e+00 -1.517477199142230415e-03 -1.889885886165121754e-03 -1.885990739726480740e-03
3.241210937500000000e+00 -1.518676944406843364e-03 -1.891374009270285848e-03 -1.889333269857966686e-03
3.242187500000000000e+00 -1.517371339128905728e-03 -1.888595235554614733e-03 -1.887027349543186601e-03
3.243164062500000000e+00 -1.516383311266284719e-03 -1.889159454807266131e-03 -1.889960873255160014e-03
3.244140625000000000e+00 -1.517844180349708439e-03 -1.888496497120474484e-03 -1.890870544207885794e-03
3.245117187500000000e+00 -1.517583059133332862e-03 -1.886824993550528361e-03 -1.889065304124508664e-03
3.246093750000000000e+00 -1.517625403123551778e-03 -1.889067769221681927e-03 -1.889403787132570281e-03
3.247070312500000000e+00 -1.517745377743196997e-03 -1.890972004883476314e-03 -1.885532374161881259e-03
3.248046875000000000e+00 -1.519770827307553342e-03 -1.892015805083021012e-03 -1.885215043911474047e-03
3.249023437500000000e+00 -1.517872409662299063e-03 -1.890471262128737024e-03 -1.886921573128935757e-03
3.250000000000000000e+00 -1.517456027141343353e-03 -1.890767476212758475e-03 -1.889149924897830972e-03
3.250976562500000000e+00 -1.517618345792095787e-03 -1.887974593647314195e-03 -1.884679107923884238e-03
3.251953125000000000e+00 -1.518317021127158764e-03 -1.890471262128737024e-03 -1.889622390621154653e-03
3.252929687500000000e+00 -1.517350167123574303e-03 -1.888926714442067762e-03 -1.890877595914286025e-03
3.253906250000000000e+00 -1.517427797805444333e-03 -1.887396267545947588e-03 -1.889960873255160014e-03
3.254882812500000000e+00 -1.517745377743196997e-03 -1.888277861947483061e-03 -1.889481356123241503e-03
3.255859375000000000e+00 -1.517519543141338054e-03 -1.888997241836808507e-03 -1.887394040940750493e-03
3.256835937500000000e+00 -1.518070014806186712e-03 -1.890443051254514202e-03 -1.887993439766258918e-03
3.257812500000000000e+00 -1.518571084645366914e-03 -1.890393682220825817e-03 -1.884016238940532367e-03
3.258789062500000000e+00 -1.518288791839456867e-03 -1.889949360700058072e-03 -1.886766434347886658e-03
3.259765625000000000e+00 -1.517971212243921560e-03 -1.890584105609840375e-03 -1.884009187138151187e-03
3.260742187500000000e+00 -1.517371339128905728e-03 -1.890055151573858143e-03 -1.889636494068775785e-03
3.261718750000000000e+00 -1.518168817349093650e-03 -1.887720694465000329e-03 -1.886011895050169768e-03
3.262695312500000000e+00 -1.518655772456326165e-03 -1.889801253439440856e-03 -1.891216077705482274e-03
3.263671875000000000e+00 -1.516037501057038769e-03 -1.888559971830356147e-03 -1.889495459574808264e-03
3.264648437500000000e+00 -1.518373479697822425e-03 -1.887495006195587764e-03 -1.890059597313933698e-03
3.265625000000000000e+00 -1.517018472257332167e-03 -1.888383653172061782e-03 -1.888219095610023596e-03
3.266601562500000000e+00 -1.517964154917304798e-03 -1.888150912448683565e-03 -1.887986388019513356e-03
3.267578125000000000e+00 -1.518669887090103032e-03 -1.891352851152656609e-03 -1.885031697453523223e-03
3.268554687500000000e+00 -1.518366422376834840e-03 -1.892967918245038557e-03 -1.884580382811392027e-03
3.269531250000000000e+00 -1.518775746830839128e-03 -1.888912608961935535e-03 -1.886343328338723141e-03
3.270507812500000000e+00 -1.517752435072875546e-03 -1.889850622531147719e-03 -1.887859456561230857e-03
3.271484375000000000e+00 -1.518189989320055649e-03 -1.889730726157185870e-03 -1.887711369819505564e-03
3.272460937500000000e+00 -1.517942982936861668e-03 -1.887128262542292446e-03 -1.886075361015909953e-03
3.273437500000000000e+00 -1.518006498875524137e-03 -1.889497986055737244e-03 -1.892436020608875011e-03
3.274414062500000000e+00 -1.517808893706747760e-03 -1.886747413081469238e-03 -1.890242941943218397e-03
3.275390625000000000e+00 -1.517300765774343965e-03 -1.887459742394364919e-03 -1.889573028551373365e-03
3.276367187500000000e+00 -1.517124332344729981e-03 -1.887770063760465643e-03 -1.888204992122747552e-03
3.277343750000000000e+00 -1.517385453798633004e-03 -1.889787147983779071e-03 -1.886660657878888158e-03
3.278320312500000000e+00 -1.518931007743721303e-03 -1.892149806303447925e-03 -1.885525322380709242e-03
3.279296875000000000e+00 -1.517597173797134323e-03 -1.890520631154827972e-03 -1.883487353488225765e-03
